30;26;38;100;5
60;91;50;94;5
88;100;24;100;5
62;91;74;83;5
84;63;46;39;5
8;40;12;39;5
54;94;86;67;5
78;94;68;83;5
50;77;52;61;2
54;34;22;100;2
60;94;74;94;4
40;71;28;94;4
78;80;58;61;4
58;80;72;61;4
78;37;40;56;4
32;74;62;67;4
94;94;82;83;5
48;63;62;50;2
26;89;60;61;2
46;43;30;50;2
6;34;30;83;2
44;86;62;72;2
54;66;48;78;2
22;77;46;61;2
24;77;56;83;2
26;57;56;67;2
38;49;54;56;5
2;74;34;100;5
0;43;42;56;5
28;37;62;56;5
0;37;36;100;5
56;74;64;61;3
60;57;50;56;3
50;94;94;78;3
8;83;72;67;3
52;86;78;72;3
78;66;54;78;3
26;40;44;56;3
38;46;44;50;5
42;51;40;61;5
60;91;56;67;5
8;69;42;89;5
24;80;60;94;5
20;74;64;72;5
8;89;54;67;5
16;91;86;94;5
50;77;58;61;3
16;37;60;89;3
86;100;78;78;3
16;20;32;56;3
38;29;52;50;5
16;31;66;72;3
8;51;26;78;3
44;57;38;56;3
36;83;64;78;3
48;26;28;61;3
26;31;24;61;3
24;74;40;78;3
