30;25,714;38;100;5
60;91,429;50;94,444;5
88;100;24;100;5
62;91,429;74;83,333;5
84;62,857;46;38,889;5
8;40;12;38,889;5
54;94,286;86;66,667;5
78;94,286;68;83,333;5
50;77,143;52;61,111;2
54;34,286;24;100;2
60;94,286;74;94,444;4
40;71,429;28;94,444;4
78;80;58;61,111;4
58;80;72;61,111;4
78;37,143;40;55,556;4
32;74,286;62;66,667;4
94;94,286;82;83,333;5
48;62,857;62;50;2
26;88,571;60;61,111;2
46;42,857;30;50;2
6;34,286;30;83,333;2
44;85,714;62;72,222;2
54;65,714;48;77,778;2
22;77,143;46;61,111;2
24;77,143;56;83,333;2
26;57,143;56;66,667;2
38;48,571;54;55,556;5
2;74,286;34;100;5
2;42,857;42;55,556;5
28;37,143;62;55,556;5
2;37,143;36;100;5
56;74,286;64;61,111;3
60;57,143;50;55,556;3
50;94,286;94;77,778;3
8;82,857;72;66,667;3
52;85,714;78;72,222;3
78;65,714;54;77,778;3
26;40;44;55,556;3
38;45,714;44;50;5
42;51,429;40;61,111;5
60;91,429;56;66,667;5
8;68,571;42;88,889;5
24;80;60;94,444;5
20;74,286;64;72,222;5
8;88,571;54;66,667;5
16;91,429;86;94,444;5
50;77,143;58;61,111;3
16;37,143;60;88,889;3
86;100;78;77,778;3
16;20;32;55,556;3
38;28,571;52;50;5
16;31,429;66;72,222;3
8;51,429;26;77,778;3
44;57,143;38;55,556;3
36;82,857;64;77,778;3
48;25,714;28;61,111;3
26;31,429;24;61,111;3
24;74,286;40;77,778;3
